d_in,exec_time_std,exec_time_avg,rmse_avg,rmse_std,mae_avg,mae_std,r2_avg,r2_std,pc-er_avg,pc-er_std,doa_avg,doa_std,rm_avg,rm_std
21.0,126.43823680635819,755.007080936432,0.2258,0.0005,0.1508,0.0002,0.3485,0.0019,0.4273,0.0045,0.688,0.0016,0.5103,0.0023
13.0,168.99641995131506,801.572504234314,0.2252,0.0005,0.1502,0.0003,0.3519,0.0028,0.4272,0.0043,0.6872,0.0012,0.5089,0.0017
14.0,155.55774007410747,758.0244840145112,0.2254,0.0004,0.1504,0.0003,0.3505,0.0011,0.4293,0.0051,0.6881,0.0013,0.5127,0.0025
15.0,165.09667757915344,764.6973931312561,0.2252,0.0006,0.1504,0.0003,0.3518,0.0024,0.4346,0.0047,0.6881,0.0014,0.5158,0.0019
16.0,186.93561314760657,748.5974852561951,0.2253,0.0006,0.1505,0.0005,0.3512,0.0028,0.4288,0.0053,0.688,0.001,0.5101,0.0017
17.0,125.41277336458738,763.4232500076293,0.2252,0.0004,0.1504,0.0003,0.3517,0.0019,0.4311,0.0049,0.6881,0.0007,0.5124,0.0022
18.0,138.58316668829193,734.1259617805482,0.2254,0.0005,0.1505,0.0005,0.3505,0.0028,0.425,0.0038,0.6883,0.001,0.5075,0.0026
19.0,135.81942322547948,832.5645250320434,0.2252,0.0004,0.1502,0.0002,0.3517,0.0019,0.4296,0.0019,0.6869,0.0012,0.5099,0.0019
20.0,121.5014146641046,780.7017496109008,0.2253,0.0004,0.1504,0.0003,0.3512,0.0009,0.4283,0.0044,0.6861,0.0016,0.5102,0.0017
2.0,166.7885873044615,1746.7035546779632,0.233,0.0005,0.1613,0.0004,0.306,0.0032,0.4067,0.0036,0.6948,0.0013,0.521,0.0016
12.0,133.72688042471145,680.8146597385406,0.2253,0.0005,0.1504,0.0006,0.351,0.0036,0.429,0.0049,0.6883,0.001,0.511,0.0041
3.0,145.60641387863896,917.7016416549683,0.2331,0.0023,0.16,0.0012,0.3055,0.0136,0.4082,0.0059,0.6907,0.0011,0.513,0.0034
4.0,144.56601662585965,1058.6515842437743,0.2314,0.0007,0.157,0.0008,0.3155,0.0054,0.4196,0.0038,0.6936,0.0011,0.5195,0.0024
5.0,135.78454507161118,803.2546780109407,0.2299,0.0006,0.1557,0.0006,0.3243,0.0018,0.4163,0.0053,0.6901,0.0011,0.5126,0.0027
6.0,179.23013624635234,998.7689379215241,0.2278,0.0013,0.1536,0.0013,0.337,0.0067,0.4171,0.0054,0.6899,0.0018,0.5077,0.0022
7.0,146.1292896400751,929.0123421669007,0.2266,0.0005,0.1522,0.0005,0.3436,0.0018,0.4212,0.0062,0.6883,0.0008,0.5074,0.0033
8.0,150.79426208063865,871.1963496208193,0.2258,0.0002,0.1511,0.0002,0.3482,0.0016,0.4254,0.0037,0.6878,0.001,0.5095,0.0025
9.0,181.06127272598053,973.1582037925721,0.2252,0.0007,0.1503,0.0007,0.352,0.0038,0.4337,0.0067,0.6912,0.0012,0.5174,0.0029
10.0,134.36895412020007,1044.08825006485,0.2248,0.0005,0.15,0.0005,0.3542,0.0029,0.4349,0.006,0.6894,0.0008,0.5179,0.0022
11.0,145.12891700319426,1010.2789877414704,0.225,0.0003,0.1496,0.0003,0.353,0.0018,0.4332,0.0037,0.6897,0.0009,0.5153,0.0018
